id,name,estimated_buy_price,estimated_sell_price,margin
44546,Alchemical onyx necklace,773300000,854700000,81400000
39810,Alchemical onyx ring,760950000,841050000,80100000
39361,Amulet of bountiful harvest (new),807,892,85
12608,Amulet of farming (1),665,736,71
10362,Amulet of glory (t),16150000,17850000,1700000
31875,Amulet of souls,573800000,634200000,60400000
1725,Amulet of strength,3474,3839,365
6737,Berserker ring,104500000,115500000,11000000
5521,Binding necklace,1321,1460,139
39373,Botanist's amulet (new),134900,149100,14200
1009,Brass necklace,2138,2363,225
50462,Brooch of the Gods,1432600000,1583400000,150800000
11083,Castle wars brace (1),5707,6308,601
11079,Castle wars brace (3),2114,2337,223
39376,Columbarium ring (new),2204,2436,232
56414,Conjurer's raising amulet,10450000,11550000,1100000
1681,Diamond amulet,2989,3304,315
1700,Diamond amulet,6712,7419,707
11092,Diamond bracelet,3834,4237,403
1662,Diamond necklace,4735,5234,499
11115,Dragonstone bracelet,8900,9837,937
1664,Dragonstone necklace,102600,113400,10800
1677,Emerald amulet,3937,4352,415
1696,Emerald amulet,6584,7277,693
1658,Emerald necklace,5069,5602,533
1639,Emerald ring,4127,4562,435
50465,Essence of Finality amulet,2612500000,2887500000,275000000
39358,Featherfingered necklace (new),2798,3093,295
11103,Forinthry bracelet (1),5282,5838,556
11095,Forinthry bracelet (5),3802,4203,401
1673,Gold amulet,479,530,51
44548,Grace of the elves,806550000,891450000,84900000
39814,Hazelmere's signet ring,45600000000,50400000000,4800000000
39355,Headhunter's sacrifice (new),2242,2479,237
31861,Hydrix amulet,351500000,388500000,37000000
31865,Hydrix bracelet,437000000,483000000,46000000
39338,Jade amulet,6783,7498,715
39340,Jade amulet,2703,2988,285
39334,Jade bracelet,2492,2755,263
39336,Jade necklace,5283,5840,557
39332,Jade ring,2625,2902,277
30576,Leviathan ring,1918050,2119950,201900
39812,Luck of the Dwarves,790400000,873600000,83200000
56404,Moonstone amulet,5127150,5666850,539700
56402,Moonstone amulet,3826600,4229400,402800
56410,Moonstone bracelet,5114800,5653200,538400
56408,Moonstone necklace,7515450,8306550,791100
56406,Moonstone ring,5069200,5602800,533600
11130,Onyx bracelet,4760450,5261550,501100
6575,Onyx ring,9500000,10500000,1000000
39328,Opal amulet,1751,1936,185
39330,Opal amulet,830,917,87
39324,Opal bracelet,1654,1829,175
39326,Opal necklace,1573,1738,165
39322,Opal ring,1576,1741,165
56416,Passing bracelet,9234000,10206000,972000
11090,Phoenix necklace,3724,4117,393
6041,Pre-nature amulet,2639,2916,277
2566,Ring of duelling (1),6194,6847,653
2552,Ring of duelling (8),5026,5555,529
56418,Ring of imbuing,8207050,9070950,863900
39364,Ring of respawn (new),6735,7444,709
6583,Ring of stone,19950000,22050000,2100000
1679,Ruby amulet,3179,3514,335
1698,Ruby amulet,5972,6601,629
11085,Ruby bracelet,2863,3164,301
1660,Ruby necklace,5121,5660,539
1675,Sapphire amulet,871,962,91
11113,Skills necklace,96900,107100,10200
11105,Skills necklace (4),155800,172200,16400
39348,Topaz amulet,5482,6059,577
39350,Topaz amulet,2038,2253,215
39344,Topaz bracelet,2623,2900,277
39346,Topaz necklace,2181,2410,229
39342,Topaz ring,2229,2464,235
1722,Unpowered symbol,776,857,81
1720,Unstrung emblem,282,311,29
